,id,icon,site,country,missed,total,missed_count,missed_percent
95,55.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
96,36.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
97,21.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
98,NationalGeographic.ru,http://icon-tmdb.me/stalker_portal/logos/nationalgeographichd.png,,ru,True,1.0,1.0,100.0
99,NatGeoWild.ru,http://icon-tmdb.me/stalker_portal/logos/natgeowildhd.png,,ru,True,1.0,1.0,100.0
100,DiscoveryScience.ru,http://icon-tmdb.me/stalker_portal/logos/discoverysciencehd.png,,ru,True,1.0,1.0,100.0
101,NTV.ru,http://icon-tmdb.me/stalker_portal/logos/ntvhd.png,,ru,True,1.0,1.0,100.0
102,DisneyChannel.ru,http://icon-tmdb.me/stalker_portal/logos/disneychannel.png,,ru,True,1.0,1.0,100.0
103,MuzTV.ru,http://icon-tmdb.me/stalker_portal/logos/MUZ-.png,,ru,True,1.0,1.0,100.0
104,Multimaniya.ru,http://icon-tmdb.me/stalker_portal/logos/MULTIMANIA.png,,ru,True,1.0,1.0,100.0
105,PervyyKanal.ru,http://icon-tmdb.me/stalker_portal/logos/perviykanal.png,,ru,True,1.0,1.0,100.0
106,CartoonNetwork.ru,http://icon-tmdb.me/stalker_portal/logos/cartoonnetwork.png,,ru,True,1.0,1.0,100.0
107,FoxLife.ru,http://icon-tmdb.me/stalker_portal/logos/foxlife.png,,ru,True,1.0,1.0,100.0
108,Psychologiya21.ru,http://icon-tmdb.me/stalker_portal/logos/PSIHOLOGIA-21.png,,ru,True,1.0,1.0,100.0
109,RusskijExtreme.ru,http://icon-tmdb.me/stalker_portal/logos/RUSSKIY-EXTRIM-HD.jpg,,ru,True,1.0,1.0,100.0
110,RussianMusicbox.ru,http://icon-tmdb.me/stalker_portal/logos/RUSSIAN-MUSICBOX.png,,ru,True,1.0,1.0,100.0
111,Russia24.ru,http://icon-tmdb.me/stalker_portal/logos/rossiya24.png,,ru,True,1.0,1.0,100.0
112,Russia1.ru,http://icon-tmdb.me/stalker_portal/logos/ROSSIYA-1.jpg,,ru,True,1.0,1.0,100.0
113,RTVi.ru,http://icon-tmdb.me/stalker_portal/logos/rtvi.png,,ru,True,1.0,1.0,100.0
114,CBSReality.ru,http://icon-tmdb.me/stalker_portal/logos/cbsreality.png,,ru,True,1.0,1.0,100.0
115,FashionTV.ru,http://icon-tmdb.me/stalker_portal/logos/fashiontelevision.png,,ru,True,1.0,1.0,100.0
116,FoodNetwork.ru,http://icon-tmdb.me/stalker_portal/logos/foodnetwork.png,,ru,True,1.0,1.0,100.0
117,GolfChannel.fr,http://icon-tmdb.me/stalker_portal/misc/logos/320/6282.png?80453,,fr,True,1.0,1.0,100.0
118,70.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
119,71.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
120,63.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
121,72.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
122,73.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
123,3.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
124,30.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
125,74.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
126,27.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
